name,fdir,op_Mask_thick
mt1100,/data/experiments/maskEfficiency10/data/1100,1.1E-07
mt1101,/data/experiments/maskEfficiency10/data/1101,1.101E-07
mt1102,/data/experiments/maskEfficiency10/data/1102,1.102E-07
mt1103,/data/experiments/maskEfficiency10/data/1103,1.103E-07
mt1104,/data/experiments/maskEfficiency10/data/1104,1.104E-07
mt1105,/data/experiments/maskEfficiency10/data/1105,1.105E-07
mt1106,/data/experiments/maskEfficiency10/data/1106,1.106E-07
mt1107,/data/experiments/maskEfficiency10/data/1107,1.107E-07
mt1108,/data/experiments/maskEfficiency10/data/1108,1.108E-07
mt1109,/data/experiments/maskEfficiency10/data/1109,1.109E-07
mt1110,/data/experiments/maskEfficiency10/data/1110,1.11E-07
mt1111,/data/experiments/maskEfficiency10/data/1111,1.111E-07
mt1112,/data/experiments/maskEfficiency10/data/1112,1.112E-07
mt1113,/data/experiments/maskEfficiency10/data/1113,1.113E-07
mt1114,/data/experiments/maskEfficiency10/data/1114,1.114E-07
mt1115,/data/experiments/maskEfficiency10/data/1115,1.115E-07
mt1116,/data/experiments/maskEfficiency10/data/1116,1.116E-07
mt1117,/data/experiments/maskEfficiency10/data/1117,1.117E-07
mt1118,/data/experiments/maskEfficiency10/data/1118,1.118E-07
mt1119,/data/experiments/maskEfficiency10/data/1119,1.119E-07
mt1120,/data/experiments/maskEfficiency10/data/1120,1.12E-07
mt1121,/data/experiments/maskEfficiency10/data/1121,1.121E-07
mt1122,/data/experiments/maskEfficiency10/data/1122,1.122E-07
mt1123,/data/experiments/maskEfficiency10/data/1123,1.123E-07
mt1124,/data/experiments/maskEfficiency10/data/1124,1.124E-07
mt1125,/data/experiments/maskEfficiency10/data/1125,1.125E-07
mt1126,/data/experiments/maskEfficiency10/data/1126,1.126E-07
mt1127,/data/experiments/maskEfficiency10/data/1127,1.127E-07
mt1128,/data/experiments/maskEfficiency10/data/1128,1.128E-07
mt1129,/data/experiments/maskEfficiency10/data/1129,1.129E-07
mt1130,/data/experiments/maskEfficiency10/data/1130,1.13E-07
mt1131,/data/experiments/maskEfficiency10/data/1131,1.131E-07
mt1132,/data/experiments/maskEfficiency10/data/1132,1.132E-07
mt1133,/data/experiments/maskEfficiency10/data/1133,1.133E-07
mt1134,/data/experiments/maskEfficiency10/data/1134,1.134E-07
mt1135,/data/experiments/maskEfficiency10/data/1135,1.135E-07
mt1136,/data/experiments/maskEfficiency10/data/1136,1.136E-07
mt1137,/data/experiments/maskEfficiency10/data/1137,1.137E-07
mt1138,/data/experiments/maskEfficiency10/data/1138,1.138E-07
mt1139,/data/experiments/maskEfficiency10/data/1139,1.139E-07
mt1140,/data/experiments/maskEfficiency10/data/1140,1.14E-07
mt1141,/data/experiments/maskEfficiency10/data/1141,1.141E-07
mt1142,/data/experiments/maskEfficiency10/data/1142,1.142E-07
mt1143,/data/experiments/maskEfficiency10/data/1143,1.143E-07
mt1144,/data/experiments/maskEfficiency10/data/1144,1.144E-07
mt1145,/data/experiments/maskEfficiency10/data/1145,1.145E-07
mt1146,/data/experiments/maskEfficiency10/data/1146,1.146E-07
mt1147,/data/experiments/maskEfficiency10/data/1147,1.147E-07
mt1148,/data/experiments/maskEfficiency10/data/1148,1.148E-07
mt1149,/data/experiments/maskEfficiency10/data/1149,1.149E-07
mt1150,/data/experiments/maskEfficiency10/data/1150,1.15E-07
