name,fdir,und_bx,und_by
exit0,/data/experiments/beamPolarisation17/data/t0,0.46111878,0
exit10,/data/experiments/beamPolarisation17/data/t10,0.454113349603531,0.080072435834998
exit20,/data/experiments/beamPolarisation17/data/t20,0.433309914871801,0.157711911225758
exit30,/data/experiments/beamPolarisation17/data/t30,0.399340577642088,0.23055939
exit40,/data/experiments/beamPolarisation17/data/t40,0.353237479036803,0.296401438377773
exit50,/data/experiments/beamPolarisation17/data/t50,0.296401438377773,0.353237479036803
exit60,/data/experiments/beamPolarisation17/data/t60,0.23055939,0.399340577642088
exit70,/data/experiments/beamPolarisation17/data/t70,0.157711911225758,0.433309914871801
exit80,/data/experiments/beamPolarisation17/data/t80,0.080072435834998,0.454113349603531
exit90,/data/experiments/beamPolarisation17/data/t90,0,0.46111878
exit100,/data/experiments/beamPolarisation17/data/t100,-0.080072435834998,0.454113349603531
exit110,/data/experiments/beamPolarisation17/data/t110,-0.157711911225758,0.433309914871801
exit120,/data/experiments/beamPolarisation17/data/t120,-0.23055939,0.399340577642088
exit130,/data/experiments/beamPolarisation17/data/t130,-0.296401438377773,0.353237479036803
exit140,/data/experiments/beamPolarisation17/data/t140,-0.353237479036803,0.296401438377773
exit150,/data/experiments/beamPolarisation17/data/t150,-0.399340577642088,0.23055939
exit160,/data/experiments/beamPolarisation17/data/t160,-0.433309914871801,0.157711911225758
exit170,/data/experiments/beamPolarisation17/data/t170,-0.454113349603531,0.080072435834998
exit180,/data/experiments/beamPolarisation17/data/t180,-0.46111878,0
