name,fdir,und_bx,und_by
t0,/data/experiments/beamPolarisation17/data/t0,0.46111878,0
t10,/data/experiments/beamPolarisation17/data/t10,0.454113349603531,0.080072435834998
t20,/data/experiments/beamPolarisation17/data/t20,0.433309914871801,0.157711911225758
t30,/data/experiments/beamPolarisation17/data/t30,0.399340577642088,0.23055939
t40,/data/experiments/beamPolarisation17/data/t40,0.353237479036803,0.296401438377773
t50,/data/experiments/beamPolarisation17/data/t50,0.296401438377773,0.353237479036803
t60,/data/experiments/beamPolarisation17/data/t60,0.23055939,0.399340577642088
t70,/data/experiments/beamPolarisation17/data/t70,0.157711911225758,0.433309914871801
t80,/data/experiments/beamPolarisation17/data/t80,0.080072435834998,0.454113349603531
t90,/data/experiments/beamPolarisation17/data/t90,0,0.46111878
t100,/data/experiments/beamPolarisation17/data/t100,-0.080072435834998,0.454113349603531
t110,/data/experiments/beamPolarisation17/data/t110,-0.157711911225758,0.433309914871801
t120,/data/experiments/beamPolarisation17/data/t120,-0.23055939,0.399340577642088
t130,/data/experiments/beamPolarisation17/data/t130,-0.296401438377773,0.353237479036803
t140,/data/experiments/beamPolarisation17/data/t140,-0.353237479036803,0.296401438377773
t150,/data/experiments/beamPolarisation17/data/t150,-0.399340577642088,0.23055939
t160,/data/experiments/beamPolarisation17/data/t160,-0.433309914871801,0.157711911225758
t170,/data/experiments/beamPolarisation17/data/t170,-0.454113349603531,0.080072435834998
t180,/data/experiments/beamPolarisation17/data/t180,-0.46111878,0
