name,fdir,op_Mask_thick
mt-exit1000,/data/experiments/maskEfficiency20/data/1000,1E-07
mt-exit1005,/data/experiments/maskEfficiency20/data/1005,1.005E-07
mt-exit1010,/data/experiments/maskEfficiency20/data/1010,1.01E-07
mt-exit1015,/data/experiments/maskEfficiency20/data/1015,1.015E-07
mt-exit1020,/data/experiments/maskEfficiency20/data/1020,1.02E-07
mt-exit1025,/data/experiments/maskEfficiency20/data/1025,1.025E-07
mt-exit1030,/data/experiments/maskEfficiency20/data/1030,1.03E-07
mt-exit1035,/data/experiments/maskEfficiency20/data/1035,1.035E-07
mt-exit1040,/data/experiments/maskEfficiency20/data/1040,1.04E-07
mt-exit1045,/data/experiments/maskEfficiency20/data/1045,1.045E-07
mt-exit1050,/data/experiments/maskEfficiency20/data/1050,1.05E-07
mt-exit1055,/data/experiments/maskEfficiency20/data/1055,1.055E-07
mt-exit1060,/data/experiments/maskEfficiency20/data/1060,1.06E-07
mt-exit1065,/data/experiments/maskEfficiency20/data/1065,1.065E-07
mt-exit1070,/data/experiments/maskEfficiency20/data/1070,1.07E-07
mt-exit1075,/data/experiments/maskEfficiency20/data/1075,1.075E-07
mt-exit1080,/data/experiments/maskEfficiency20/data/1080,1.08E-07
mt-exit1085,/data/experiments/maskEfficiency20/data/1085,1.085E-07
mt-exit1090,/data/experiments/maskEfficiency20/data/1090,1.09E-07
mt-exit1095,/data/experiments/maskEfficiency20/data/1095,1.095E-07
mt-exit1100,/data/experiments/maskEfficiency20/data/1100,1.1E-07
mt-exit1105,/data/experiments/maskEfficiency20/data/1105,1.105E-07
mt-exit1110,/data/experiments/maskEfficiency20/data/1110,1.11E-07
mt-exit1115,/data/experiments/maskEfficiency20/data/1115,1.115E-07
mt-exit1120,/data/experiments/maskEfficiency20/data/1120,1.12E-07
mt-exit1125,/data/experiments/maskEfficiency20/data/1125,1.125E-07
mt-exit1130,/data/experiments/maskEfficiency20/data/1130,1.13E-07
mt-exit1135,/data/experiments/maskEfficiency20/data/1135,1.135E-07
mt-exit1140,/data/experiments/maskEfficiency20/data/1140,1.14E-07
mt-exit1145,/data/experiments/maskEfficiency20/data/1145,1.145E-07
mt-exit1150,/data/experiments/maskEfficiency20/data/1150,1.15E-07
mt-exit1155,/data/experiments/maskEfficiency20/data/1155,1.155E-07
mt-exit1160,/data/experiments/maskEfficiency20/data/1160,1.16E-07
mt-exit1165,/data/experiments/maskEfficiency20/data/1165,1.165E-07
mt-exit1170,/data/experiments/maskEfficiency20/data/1170,1.17E-07
mt-exit1175,/data/experiments/maskEfficiency20/data/1175,1.175E-07
mt-exit1180,/data/experiments/maskEfficiency20/data/1180,1.18E-07
mt-exit1185,/data/experiments/maskEfficiency20/data/1185,1.185E-07
mt-exit1190,/data/experiments/maskEfficiency20/data/1190,1.19E-07
mt-exit1195,/data/experiments/maskEfficiency20/data/1195,1.195E-07
mt-exit1200,/data/experiments/maskEfficiency20/data/1200,1.2E-07
mt-exit1205,/data/experiments/maskEfficiency20/data/1205,1.205E-07
mt-exit1210,/data/experiments/maskEfficiency20/data/1210,1.21E-07
mt-exit1215,/data/experiments/maskEfficiency20/data/1215,1.215E-07
mt-exit1220,/data/experiments/maskEfficiency20/data/1220,1.22E-07
mt-exit1225,/data/experiments/maskEfficiency20/data/1225,1.225E-07
mt-exit1230,/data/experiments/maskEfficiency20/data/1230,1.23E-07
mt-exit1235,/data/experiments/maskEfficiency20/data/1235,1.235E-07
mt-exit1240,/data/experiments/maskEfficiency20/data/1240,1.24E-07
mt-exit1245,/data/experiments/maskEfficiency20/data/1245,1.245E-07
mt-exit1250,/data/experiments/maskEfficiency20/data/1250,1.25E-07
mt-exit1255,/data/experiments/maskEfficiency20/data/1255,1.255E-07
mt-exit1260,/data/experiments/maskEfficiency20/data/1260,1.26E-07
mt-exit1265,/data/experiments/maskEfficiency20/data/1265,1.265E-07
mt-exit1270,/data/experiments/maskEfficiency20/data/1270,1.27E-07
mt-exit1275,/data/experiments/maskEfficiency20/data/1275,1.275E-07
mt-exit1280,/data/experiments/maskEfficiency20/data/1280,1.28E-07
mt-exit1285,/data/experiments/maskEfficiency20/data/1285,1.285E-07
mt-exit1290,/data/experiments/maskEfficiency20/data/1290,1.29E-07
mt-exit1295,/data/experiments/maskEfficiency20/data/1295,1.295E-07
mt-exit1300,/data/experiments/maskEfficiency20/data/1300,1.3E-07
mt-exit1305,/data/experiments/maskEfficiency20/data/1305,1.305E-07
mt-exit1310,/data/experiments/maskEfficiency20/data/1310,1.31E-07
mt-exit1315,/data/experiments/maskEfficiency20/data/1315,1.315E-07
mt-exit1320,/data/experiments/maskEfficiency20/data/1320,1.32E-07
mt-exit1325,/data/experiments/maskEfficiency20/data/1325,1.325E-07
mt-exit1330,/data/experiments/maskEfficiency20/data/1330,1.33E-07
mt-exit1335,/data/experiments/maskEfficiency20/data/1335,1.335E-07
mt-exit1340,/data/experiments/maskEfficiency20/data/1340,1.34E-07
mt-exit1345,/data/experiments/maskEfficiency20/data/1345,1.345E-07
mt-exit1350,/data/experiments/maskEfficiency20/data/1350,1.35E-07
mt-exit1355,/data/experiments/maskEfficiency20/data/1355,1.355E-07
mt-exit1360,/data/experiments/maskEfficiency20/data/1360,1.36E-07
mt-exit1365,/data/experiments/maskEfficiency20/data/1365,1.365E-07
mt-exit1370,/data/experiments/maskEfficiency20/data/1370,1.37E-07
mt-exit1375,/data/experiments/maskEfficiency20/data/1375,1.375E-07
mt-exit1380,/data/experiments/maskEfficiency20/data/1380,1.38E-07
mt-exit1385,/data/experiments/maskEfficiency20/data/1385,1.385E-07
