name,fdir,op_Mask_thick
mt190,/data/experiments/maskEfficiency2/data/190,1.9E-07
mt186,/data/experiments/maskEfficiency2/data/186,1.86E-07
mt182,/data/experiments/maskEfficiency2/data/182,1.82E-07
mt178,/data/experiments/maskEfficiency2/data/178,1.78E-07
mt174,/data/experiments/maskEfficiency2/data/174,1.74E-07
mt170,/data/experiments/maskEfficiency2/data/170,1.7E-07
mt166,/data/experiments/maskEfficiency2/data/166,1.66E-07
mt162,/data/experiments/maskEfficiency2/data/162,1.62E-07
mt158,/data/experiments/maskEfficiency2/data/158,1.58E-07
mt154,/data/experiments/maskEfficiency2/data/154,1.54E-07
mt150,/data/experiments/maskEfficiency2/data/150,1.5E-07
mt146,/data/experiments/maskEfficiency2/data/146,1.46E-07
mt142,/data/experiments/maskEfficiency2/data/142,1.42E-07
mt138,/data/experiments/maskEfficiency2/data/138,1.38E-07
mt134,/data/experiments/maskEfficiency2/data/134,1.34E-07
mt130,/data/experiments/maskEfficiency2/data/130,1.3E-07
mt126,/data/experiments/maskEfficiency2/data/126,1.26E-07
mt122,/data/experiments/maskEfficiency2/data/122,1.22E-07
mt118,/data/experiments/maskEfficiency2/data/118,1.18E-07
mt114,/data/experiments/maskEfficiency2/data/114,1.14E-07
mt110,/data/experiments/maskEfficiency2/data/110,1.1E-07
mt106,/data/experiments/maskEfficiency2/data/106,1.06E-07
mt102,/data/experiments/maskEfficiency2/data/102,1.02E-07
mt98,/data/experiments/maskEfficiency2/data/98,9.8E-08
mt94,/data/experiments/maskEfficiency2/data/94,9.4E-08
mt90,/data/experiments/maskEfficiency2/data/90,9E-08
mt86,/data/experiments/maskEfficiency2/data/86,8.6E-08
mt82,/data/experiments/maskEfficiency2/data/82,8.2E-08
mt78,/data/experiments/maskEfficiency2/data/78,7.8E-08
mt74,/data/experiments/maskEfficiency2/data/74,7.4E-08
mt70,/data/experiments/maskEfficiency2/data/70,7E-08
mt66,/data/experiments/maskEfficiency2/data/66,6.6E-08
mt62,/data/experiments/maskEfficiency2/data/62,6.2E-08
mt58,/data/experiments/maskEfficiency2/data/58,5.8E-08
mt54,/data/experiments/maskEfficiency2/data/54,5.4E-08
mt50,/data/experiments/maskEfficiency2/data/50,5E-08
mt46,/data/experiments/maskEfficiency2/data/46,4.6E-08
mt42,/data/experiments/maskEfficiency2/data/42,4.2E-08
mt38,/data/experiments/maskEfficiency2/data/38,3.8E-08
mt34,/data/experiments/maskEfficiency2/data/34,3.4E-08
mt30,/data/experiments/maskEfficiency2/data/30,3E-08
mt26,/data/experiments/maskEfficiency2/data/26,2.6E-08
mt22,/data/experiments/maskEfficiency2/data/22,2.2E-08
mt18,/data/experiments/maskEfficiency2/data/18,1.8E-08
mt14,/data/experiments/maskEfficiency2/data/14,1.4E-08
mt10,/data/experiments/maskEfficiency2/data/10,1E-08
