name,fdir,op_Mask_thick
mt1590,/data/experiments/maskEfficiency5/data/1590,1.59E-07
mt1591,/data/experiments/maskEfficiency5/data/1591,1.591E-07
mt1592,/data/experiments/maskEfficiency5/data/1592,1.592E-07
mt1593,/data/experiments/maskEfficiency5/data/1593,1.593E-07
mt1594,/data/experiments/maskEfficiency5/data/1594,1.594E-07
mt1595,/data/experiments/maskEfficiency5/data/1595,1.595E-07
mt1596,/data/experiments/maskEfficiency5/data/1596,1.596E-07
mt1597,/data/experiments/maskEfficiency5/data/1597,1.597E-07
mt1598,/data/experiments/maskEfficiency5/data/1598,1.598E-07
mt1599,/data/experiments/maskEfficiency5/data/1599,1.599E-07
mt1600,/data/experiments/maskEfficiency5/data/1600,1.6E-07
mt1601,/data/experiments/maskEfficiency5/data/1601,1.601E-07
mt1602,/data/experiments/maskEfficiency5/data/1602,1.602E-07
mt1603,/data/experiments/maskEfficiency5/data/1603,1.603E-07
mt1604,/data/experiments/maskEfficiency5/data/1604,1.604E-07
mt1605,/data/experiments/maskEfficiency5/data/1605,1.605E-07
mt1606,/data/experiments/maskEfficiency5/data/1606,1.606E-07
mt1607,/data/experiments/maskEfficiency5/data/1607,1.607E-07
mt1608,/data/experiments/maskEfficiency5/data/1608,1.608E-07
mt1609,/data/experiments/maskEfficiency5/data/1609,1.609E-07
mt1610,/data/experiments/maskEfficiency5/data/1610,1.61E-07
mt1611,/data/experiments/maskEfficiency5/data/1611,1.611E-07
mt1612,/data/experiments/maskEfficiency5/data/1612,1.612E-07
mt1613,/data/experiments/maskEfficiency5/data/1613,1.613E-07
mt1614,/data/experiments/maskEfficiency5/data/1614,1.614E-07
mt1615,/data/experiments/maskEfficiency5/data/1615,1.615E-07
mt1616,/data/experiments/maskEfficiency5/data/1616,1.616E-07
mt1617,/data/experiments/maskEfficiency5/data/1617,1.617E-07
mt1618,/data/experiments/maskEfficiency5/data/1618,1.618E-07
mt1619,/data/experiments/maskEfficiency5/data/1619,1.619E-07
mt1620,/data/experiments/maskEfficiency5/data/1620,1.62E-07
mt1621,/data/experiments/maskEfficiency5/data/1621,1.621E-07
mt1622,/data/experiments/maskEfficiency5/data/1622,1.622E-07
mt1623,/data/experiments/maskEfficiency5/data/1623,1.623E-07
mt1624,/data/experiments/maskEfficiency5/data/1624,1.624E-07
mt1625,/data/experiments/maskEfficiency5/data/1625,1.625E-07
mt1626,/data/experiments/maskEfficiency5/data/1626,1.626E-07
mt1627,/data/experiments/maskEfficiency5/data/1627,1.627E-07
mt1628,/data/experiments/maskEfficiency5/data/1628,1.628E-07
mt1629,/data/experiments/maskEfficiency5/data/1629,1.629E-07
mt1630,/data/experiments/maskEfficiency5/data/1630,1.63E-07
mt1631,/data/experiments/maskEfficiency5/data/1631,1.631E-07
mt1632,/data/experiments/maskEfficiency5/data/1632,1.632E-07
mt1633,/data/experiments/maskEfficiency5/data/1633,1.633E-07
mt1634,/data/experiments/maskEfficiency5/data/1634,1.634E-07
mt1635,/data/experiments/maskEfficiency5/data/1635,1.635E-07
mt1636,/data/experiments/maskEfficiency5/data/1636,1.636E-07
mt1637,/data/experiments/maskEfficiency5/data/1637,1.637E-07
mt1638,/data/experiments/maskEfficiency5/data/1638,1.638E-07
mt1639,/data/experiments/maskEfficiency5/data/1639,1.639E-07
mt1640,/data/experiments/maskEfficiency5/data/1640,1.64E-07
mt1641,/data/experiments/maskEfficiency5/data/1641,1.641E-07
mt1642,/data/experiments/maskEfficiency5/data/1642,1.642E-07
mt1643,/data/experiments/maskEfficiency5/data/1643,1.643E-07
mt1644,/data/experiments/maskEfficiency5/data/1644,1.644E-07
mt1645,/data/experiments/maskEfficiency5/data/1645,1.645E-07
mt1646,/data/experiments/maskEfficiency5/data/1646,1.646E-07
mt1647,/data/experiments/maskEfficiency5/data/1647,1.647E-07
mt1648,/data/experiments/maskEfficiency5/data/1648,1.648E-07
mt1649,/data/experiments/maskEfficiency5/data/1649,1.649E-07
mt1650,/data/experiments/maskEfficiency5/data/1650,1.65E-07
mt1651,/data/experiments/maskEfficiency5/data/1651,1.651E-07
mt1652,/data/experiments/maskEfficiency5/data/1652,1.652E-07
mt1653,/data/experiments/maskEfficiency5/data/1653,1.65300000000001E-07
mt1654,/data/experiments/maskEfficiency5/data/1654,1.65400000000001E-07
mt1655,/data/experiments/maskEfficiency5/data/1655,1.65500000000001E-07
mt1656,/data/experiments/maskEfficiency5/data/1656,1.65600000000001E-07
mt1657,/data/experiments/maskEfficiency5/data/1657,1.65700000000001E-07
mt1658,/data/experiments/maskEfficiency5/data/1658,1.65800000000001E-07
mt1659,/data/experiments/maskEfficiency5/data/1659,1.65900000000001E-07
mt1660,/data/experiments/maskEfficiency5/data/1660,1.66000000000001E-07
