name,fdir,op_Mask_thick
mt165,/data/experiments/maskEfficiency4/data/165,1.65E-07
mt164,/data/experiments/maskEfficiency4/data/164,1.64E-07
mt163,/data/experiments/maskEfficiency4/data/163,1.63E-07
mt162,/data/experiments/maskEfficiency4/data/162,1.62E-07
mt161,/data/experiments/maskEfficiency4/data/161,1.61E-07
mt160,/data/experiments/maskEfficiency4/data/160,1.6E-07
mt159,/data/experiments/maskEfficiency4/data/159,1.59E-07
mt158,/data/experiments/maskEfficiency4/data/158,1.58E-07
mt157,/data/experiments/maskEfficiency4/data/157,1.57E-07
mt156,/data/experiments/maskEfficiency4/data/156,1.56E-07
mt155,/data/experiments/maskEfficiency4/data/155,1.55E-07
mt154,/data/experiments/maskEfficiency4/data/154,1.54E-07
mt153,/data/experiments/maskEfficiency4/data/153,1.53E-07
mt152,/data/experiments/maskEfficiency4/data/152,1.52E-07
mt151,/data/experiments/maskEfficiency4/data/151,1.51E-07
mt150,/data/experiments/maskEfficiency4/data/150,1.5E-07
mt149,/data/experiments/maskEfficiency4/data/149,1.49E-07
mt148,/data/experiments/maskEfficiency4/data/148,1.48E-07
mt147,/data/experiments/maskEfficiency4/data/147,1.47E-07
mt146,/data/experiments/maskEfficiency4/data/146,1.46E-07
mt145,/data/experiments/maskEfficiency4/data/145,1.45E-07
mt144,/data/experiments/maskEfficiency4/data/144,1.44E-07
mt143,/data/experiments/maskEfficiency4/data/143,1.43E-07
mt142,/data/experiments/maskEfficiency4/data/142,1.42E-07
mt141,/data/experiments/maskEfficiency4/data/141,1.41E-07
mt140,/data/experiments/maskEfficiency4/data/140,1.4E-07
mt139,/data/experiments/maskEfficiency4/data/139,1.39E-07
mt138,/data/experiments/maskEfficiency4/data/138,1.38E-07
mt137,/data/experiments/maskEfficiency4/data/137,1.37E-07
mt136,/data/experiments/maskEfficiency4/data/136,1.36E-07
mt135,/data/experiments/maskEfficiency4/data/135,1.35E-07
mt134,/data/experiments/maskEfficiency4/data/134,1.34E-07
mt133,/data/experiments/maskEfficiency4/data/133,1.33E-07
mt132,/data/experiments/maskEfficiency4/data/132,1.32E-07
mt131,/data/experiments/maskEfficiency4/data/131,1.31E-07
mt130,/data/experiments/maskEfficiency4/data/130,1.3E-07
mt129,/data/experiments/maskEfficiency4/data/129,1.29E-07
mt128,/data/experiments/maskEfficiency4/data/128,1.28E-07
mt127,/data/experiments/maskEfficiency4/data/127,1.27E-07
mt126,/data/experiments/maskEfficiency4/data/126,1.26E-07
mt125,/data/experiments/maskEfficiency4/data/125,1.25E-07
mt124,/data/experiments/maskEfficiency4/data/124,1.24E-07
mt123,/data/experiments/maskEfficiency4/data/123,1.23E-07
mt122,/data/experiments/maskEfficiency4/data/122,1.22E-07
mt121,/data/experiments/maskEfficiency4/data/121,1.21E-07
mt120,/data/experiments/maskEfficiency4/data/120,1.2E-07
mt119,/data/experiments/maskEfficiency4/data/119,1.19E-07
mt118,/data/experiments/maskEfficiency4/data/118,1.18E-07
mt117,/data/experiments/maskEfficiency4/data/117,1.17E-07
mt116,/data/experiments/maskEfficiency4/data/116,1.16E-07
mt115,/data/experiments/maskEfficiency4/data/115,1.15E-07
