name,fdir,op_Mask_thick
mt75,/data/experiments/maskEfficiency6/data/75,7.5E-08
mt76,/data/experiments/maskEfficiency6/data/76,7.6E-08
mt77,/data/experiments/maskEfficiency6/data/77,7.7E-08
mt78,/data/experiments/maskEfficiency6/data/78,7.8E-08
mt79,/data/experiments/maskEfficiency6/data/79,7.9E-08
mt80,/data/experiments/maskEfficiency6/data/80,8E-08
mt81,/data/experiments/maskEfficiency6/data/81,8.1E-08
mt82,/data/experiments/maskEfficiency6/data/82,8.2E-08
mt83,/data/experiments/maskEfficiency6/data/83,8.3E-08
mt84,/data/experiments/maskEfficiency6/data/84,8.4E-08
mt85,/data/experiments/maskEfficiency6/data/85,8.5E-08
mt86,/data/experiments/maskEfficiency6/data/86,8.6E-08
mt87,/data/experiments/maskEfficiency6/data/87,8.7E-08
mt88,/data/experiments/maskEfficiency6/data/88,8.8E-08
mt89,/data/experiments/maskEfficiency6/data/89,8.9E-08
mt90,/data/experiments/maskEfficiency6/data/90,9E-08
mt91,/data/experiments/maskEfficiency6/data/91,9.09999999999999E-08
mt92,/data/experiments/maskEfficiency6/data/92,9.19999999999999E-08
mt93,/data/experiments/maskEfficiency6/data/93,9.29999999999999E-08
mt94,/data/experiments/maskEfficiency6/data/94,9.39999999999999E-08
mt95,/data/experiments/maskEfficiency6/data/95,9.49999999999999E-08
mt96,/data/experiments/maskEfficiency6/data/96,9.59999999999999E-08
mt97,/data/experiments/maskEfficiency6/data/97,9.69999999999999E-08
mt98,/data/experiments/maskEfficiency6/data/98,9.79999999999999E-08
mt99,/data/experiments/maskEfficiency6/data/99,9.89999999999999E-08
mt100,/data/experiments/maskEfficiency6/data/100,1E-07
mt101,/data/experiments/maskEfficiency6/data/101,1.01E-07
mt102,/data/experiments/maskEfficiency6/data/102,1.02E-07
mt103,/data/experiments/maskEfficiency6/data/103,1.03E-07
mt104,/data/experiments/maskEfficiency6/data/104,1.04E-07
mt105,/data/experiments/maskEfficiency6/data/105,1.05E-07
mt106,/data/experiments/maskEfficiency6/data/106,1.06E-07
mt107,/data/experiments/maskEfficiency6/data/107,1.07E-07
mt108,/data/experiments/maskEfficiency6/data/108,1.08E-07
mt109,/data/experiments/maskEfficiency6/data/109,1.09E-07
mt110,/data/experiments/maskEfficiency6/data/110,1.1E-07
mt111,/data/experiments/maskEfficiency6/data/111,1.11E-07
mt112,/data/experiments/maskEfficiency6/data/112,1.12E-07
mt113,/data/experiments/maskEfficiency6/data/113,1.13E-07
mt114,/data/experiments/maskEfficiency6/data/114,1.14E-07
mt115,/data/experiments/maskEfficiency6/data/115,1.15E-07
