"Photon energy (eV)"	"Reflectivity"
3033.27	0.002735393
3043.18	0.00267832
3053.09	0.002621803
3063	0.002565859
3072.91	0.0025105
3082.82	0.00243393
3092.73	0.002357542
3102.64	0.002282855
3112.55	0.002209891
3122.46	0.002138603
3132.37	0.002058735
3142.28	0.001980772
3152.19	0.001905592
3162.1	0.001833046
3172.01	0.001763149
3181.92	0.001722002
3191.83	0.001687209
3201.74	0.001652875
3211.65	0.001619016
3221.56	0.001585621
3231.47	0.001558971
3241.38	0.00153593
3251.29	0.001512877
3261.2	0.001489851
3271.11	0.001466844
3281.02	0.001439423
3290.93	0.001405078
3300.84	0.001371245
3310.75	0.001337917
3320.66	0.001305119
3330.57	0.001272574
3340.48	0.001231829
3350.39	0.001192107
3360.3	0.001153393
3370.21	0.0011157
3380.12	0.001078983
3390.03	0.001040416
3399.94	0.001001205
3409.85	0.000963347
3419.76	0.000926794
3429.67	0.000891511
3439.58	0.000858376
3449.49	0.000838079
3459.4	0.00081815
3469.31	0.000798584
3479.22	0.000779365
3489.13	0.000760517
3499.04	0.000742808
3508.95	0.000726303
3518.86	0.000710005
3528.77	0.000693925
3538.68	0.000678061
3548.59	0.000662435
3558.5	0.000641253
3568.41	0.000618834
3578.32	0.000597096
3588.23	0.000576018
3598.14	0.0005556
3608.05	0.000535816
3617.96	0.000516391
3627.87	0.00049759
3637.78	0.000479416
3647.69	0.000461835
3657.6	0.000444849
3667.51	0.000428407
3677.42	0.000412203
3687.33	0.000396576
3697.24	0.000381493
3707.15	0.000366957
3717.06	0.000352935
3726.97	0.000339407
3736.88	0.000326249
3746.79	0.000313575
3756.7	0.000301374
3766.61	0.000289624
3776.52	0.00027832
3786.43	0.000267436
3796.34	0.000256887
3806.25	0.000246738
3816.16	0.000236975
3826.07	0.000227593
3835.98	0.000218569
3845.89	0.000209895
3855.8	0.000201361
3865.71	0.000193122
3875.62	0.000185217
3885.53	0.000177631
3895.44	0.000170355
3905.35	0.000163374
3915.26	0.000156609
3925.17	0.000150068
3935.08	0.0001438
3944.99	0.000137794
3954.9	0.00013204
3964.81	0.000126525
3974.72	0.000121235
3984.63	0.000116144
3994.54	0.000111267
4004.45	0.000106596
4014.36	0.000102123
4024.27	9.7838E-05
4034.18	9.37345E-05
4044.09	8.97631E-05
4054	8.59416E-05
4063.91	8.22846E-05
4073.82	7.87836E-05
4083.73	7.54334E-05
4093.64	7.22269E-05
4103.55	6.91609E-05
4113.46	6.62584E-05
4123.37	6.3479E-05
4133.28	6.08174E-05
4143.19	5.82686E-05
4153.1	5.58274E-05
4163.01	5.34893E-05
4172.92	5.11714E-05
4182.83	4.88381E-05
4192.74	4.66118E-05
4202.65	4.44871E-05
4212.56	4.24595E-05
4222.47	4.05242E-05
4232.38	3.86774E-05
4242.29	3.68831E-05
4252.2	3.51519E-05
4262.11	3.35031E-05
4272.02	3.19325E-05
4281.93	3.04364E-05
4291.84	2.90112E-05
4301.75	2.76535E-05
4311.66	2.64318E-05
4321.57	2.52973E-05
4331.48	2.42116E-05
4341.39	2.31724E-05
4351.3	2.21778E-05
4361.21	2.12259E-05
4371.12	2.03148E-05
4381.03	1.94216E-05
4390.94	1.85565E-05
4400.85	1.773E-05
4410.76	1.69403E-05
4420.67	1.61859E-05
4430.58	1.5465E-05
4440.49	1.47763E-05
4450.4	1.41183E-05
4460.31	1.34896E-05
4470.22	1.2889E-05
4480.13	1.23151E-05
4490.04	1.17667E-05
4499.95	1.12428E-05
4509.86	1.07421E-05
4519.77	1.02621E-05
4529.68	9.79899E-06
4539.59	9.35682E-06
4549.5	8.93464E-06
4559.41	8.53164E-06
4569.32	8.14691E-06
4579.23	7.7796E-06
4589.14	7.42904E-06
4599.05	7.09257E-06
4608.96	6.77126E-06
4618.87	6.46462E-06
4628.78	6.17208E-06
4638.69	5.89294E-06
4648.6	5.62659E-06
4658.51	5.37249E-06
4668.42	5.12918E-06
4678.33	4.89584E-06
4688.24	4.67334E-06
4698.15	4.46114E-06
4708.06	4.25881E-06
4717.97	4.06592E-06
4727.88	3.88197E-06
4737.79	3.70655E-06
4747.7	3.53819E-06
4757.61	3.37736E-06
4767.52	3.22411E-06
4777.43	3.07802E-06
4787.34	2.9388E-06
4797.25	2.8061E-06
4807.16	2.67964E-06
4817.07	2.55909E-06
4826.98	2.44379E-06
4836.89	2.33391E-06
4846.8	2.2292E-06
4856.71	2.1294E-06
4866.62	2.03429E-06
4876.53	1.94362E-06
4886.44	1.8572E-06
4896.35	1.77471E-06
4906.26	1.6956E-06
4916.17	1.62022E-06
4926.08	1.54835E-06
4935.99	1.47986E-06
4945.9	1.41456E-06
4955.81	1.35232E-06
4965.72	1.29297E-06
4975.63	1.23637E-06
4985.54	1.18236E-06
4995.45	1.13086E-06
5005.36	1.08174E-06
5015.27	1.03489E-06
5025.18	9.90202E-07
5035.09	9.47564E-07
5045	9.0688E-07
5054.91	8.68102E-07
5064.82	8.31548E-07
5074.73	7.96641E-07
5084.64	7.63296E-07
5094.55	7.31444E-07
5104.46	7.01012E-07
5114.37	6.7193E-07
5124.28	6.44148E-07
5134.19	6.17588E-07
5144.1	5.91653E-07
5154.01	5.66778E-07
5163.92	5.43017E-07
5173.83	5.20319E-07
5183.74	4.98645E-07
5193.65	4.77934E-07
5203.56	4.58143E-07
5213.47	4.39234E-07
5223.38	4.21414E-07
5233.29	4.04679E-07
5243.2	3.88659E-07
5253.11	3.73323E-07
5263.02	3.58639E-07
5272.93	3.44577E-07
5282.84	3.3111E-07
5292.75	3.1821E-07
5302.66	3.05851E-07
5312.57	2.94156E-07
5322.48	2.82952E-07
5332.39	2.72209E-07
5342.3	2.61904E-07
5352.21	2.5202E-07
5362.12	2.42536E-07
5372.03	2.33438E-07
5381.94	2.24707E-07
5391.85	2.16212E-07
5401.76	2.07757E-07
5411.67	1.99658E-07
5421.58	1.91899E-07
5431.49	1.84465E-07
5441.4	1.7734E-07
5451.31	1.70512E-07
5461.22	1.63968E-07
5471.13	1.57694E-07
5481.04	1.51692E-07
5490.95	1.45953E-07
5500.86	1.40447E-07
5510.77	1.35166E-07
5520.68	1.30098E-07
5530.59	1.25236E-07
5540.5	1.20569E-07
5550.41	1.16089E-07
5560.32	1.11789E-07
5570.23	1.07652E-07
5580.14	1.03672E-07
5590.05	9.98503E-08
5599.96	9.61803E-08
5609.87	9.26562E-08
5619.78	8.92712E-08
5629.69	8.60194E-08
5639.6	8.28953E-08
5649.51	7.98936E-08
5659.42	7.70027E-08
5669.33	7.42177E-08
5679.24	7.15412E-08
5689.15	6.89685E-08
5699.06	6.64957E-08
5708.97	6.41185E-08
5718.88	6.18329E-08
5728.79	5.96351E-08
5738.7	5.75214E-08
5748.61	5.54947E-08
5758.52	5.35672E-08
5768.43	5.17118E-08
5778.34	4.99258E-08
5788.25	4.82061E-08
5798.16	4.65504E-08
5808.07	4.49561E-08
5817.98	4.34205E-08
5827.89	4.19416E-08
5837.8	4.0517E-08
5847.71	3.91366E-08
5857.62	3.78051E-08
5867.53	3.65228E-08
5877.44	3.52873E-08
5887.35	3.40967E-08
5897.26	3.29497E-08
5907.17	3.18441E-08
5917.08	3.07785E-08
5926.99	2.97514E-08
5936.9	2.87582E-08
5946.81	2.77941E-08
5956.72	2.6865E-08
5966.63	2.59693E-08
5976.54	2.51057E-08
5986.45	2.42731E-08
5996.36	2.34702E-08
6006.27	2.26959E-08
6016.18	2.19492E-08
6026.09	2.12289E-08
6036	2.05363E-08
6045.91	1.98695E-08
6055.82	1.9226E-08
6065.73	1.8605E-08
6075.64	1.80055E-08
6085.55	1.7427E-08
6095.46	1.68683E-08
6105.37	1.6329E-08
6115.28	1.58083E-08
6125.19	1.53054E-08
6135.1	1.48151E-08
6145.01	1.43405E-08
6154.92	1.38823E-08
6164.83	1.34397E-08
6174.74	1.30124E-08
6184.65	1.25997E-08
6194.56	1.22011E-08
6204.47	1.1816E-08
6214.38	1.1444E-08
6224.29	1.10846E-08
6234.2	1.07368E-08
6244.11	1.04005E-08
6254.02	1.00755E-08
6263.93	9.76145E-09
6273.84	9.45794E-09
6283.75	9.16454E-09
6293.66	8.88096E-09
6303.57	8.6068E-09
6313.48	8.34175E-09
6323.39	8.08547E-09
6333.3	7.83737E-09
6343.21	7.59727E-09
6353.12	7.3651E-09
6363.03	7.14055E-09
6372.94	6.92335E-09
6382.85	6.71325E-09
6392.76	6.51001E-09
6402.67	6.31338E-09
6412.58	6.12314E-09
6422.49	5.93904E-09
6432.4	5.76077E-09
6442.31	5.58793E-09
6452.22	5.42065E-09
6462.13	5.25876E-09
6472.04	5.10207E-09
6481.95	4.9504E-09
6491.86	4.80354E-09
6501.77	4.66139E-09
6511.68	4.52375E-09
6521.59	4.39047E-09
6531.5	4.26143E-09
6541.41	4.13619E-09
6551.32	4.01486E-09
6561.23	3.89734E-09
6571.14	3.78353E-09
6581.05	3.67328E-09
6590.96	3.56648E-09
6600.87	3.46301E-09
6610.78	3.36277E-09
6620.69	3.26564E-09
6630.6	3.17153E-09
6640.51	3.08031E-09
6650.42	2.99171E-09
6660.33	2.90586E-09
6670.24	2.82265E-09
6680.15	2.742E-09
6690.06	2.66381E-09
6699.97	2.58803E-09
6709.88	2.51456E-09
6719.79	2.44333E-09
6729.7	2.37426E-09
6739.61	2.30729E-09
6749.52	2.24229E-09
6759.43	2.17917E-09
6769.34	2.11795E-09
6779.25	2.05858E-09
6789.16	2.001E-09
6799.07	1.94513E-09
6808.98	1.89094E-09
6818.89	1.83838E-09
6828.8	1.78738E-09
6838.71	1.73789E-09
6848.62	1.68989E-09
6858.53	1.64327E-09
6868.44	1.59796E-09
6878.35	1.55399E-09
6888.26	1.51133E-09
6898.17	1.46992E-09
6908.08	1.42972E-09
6917.99	1.3907E-09
6927.9	1.35282E-09
6937.81	1.31605E-09
6947.72	1.28036E-09
6957.63	1.24569E-09
6967.54	1.21203E-09
6977.45	1.17928E-09
6987.36	1.14749E-09
6997.27	1.1166E-09
7007.18	1.08661E-09
7017.09	1.05749E-09
7027	1.02919E-09
7036.91	1.00172E-09
7046.82	9.75022E-10
7056.73	9.49095E-10
7066.64	9.239E-10
7076.55	8.99426E-10
7086.46	8.75607E-10
7096.37	8.52457E-10
7106.28	8.29961E-10
7116.19	8.08103E-10
7126.1	7.86855E-10
7136.01	7.66211E-10
7145.92	7.46144E-10
7155.83	7.26643E-10
7165.74	7.07685E-10
7175.65	6.89258E-10
7185.56	6.71347E-10
7195.47	6.53925E-10
7205.38	6.36959E-10
7215.29	6.20465E-10
7225.2	6.04429E-10
7235.11	5.88836E-10
7245.02	5.73672E-10
7254.93	5.58928E-10
7264.84	5.44591E-10
7274.75	5.30645E-10
7284.66	5.17083E-10
7294.57	5.03889E-10
7304.48	4.9106E-10
7314.39	4.78568E-10
7324.3	4.66403E-10
7334.21	4.54569E-10
7344.12	4.43057E-10
7354.03	4.31858E-10
7363.94	4.20961E-10
7373.85	4.10358E-10
7383.76	4.00041E-10
7393.67	3.90001E-10
7403.58	3.80231E-10
7413.49	3.70723E-10
7423.4	3.61468E-10
7433.31	3.52455E-10
7443.22	3.43674E-10
7453.13	3.35126E-10
7463.04	3.26806E-10
7472.95	3.18706E-10
7482.86	3.10822E-10
7492.77	3.03147E-10
7502.68	2.95673E-10
7512.59	2.88397E-10
7522.5	2.81312E-10
7532.41	2.74413E-10
7542.32	2.67697E-10
7552.23	2.6115E-10
7562.14	2.54768E-10
7572.05	2.48552E-10
7581.96	2.42498E-10
7591.87	2.36602E-10
7601.78	2.30859E-10
7611.69	2.25265E-10
7621.6	2.19816E-10
7631.51	2.14508E-10
7641.42	2.09338E-10
7651.33	2.043E-10
7661.24	1.99392E-10
7671.15	1.94609E-10
7681.06	1.89941E-10
7690.97	1.85392E-10
7700.88	1.80959E-10
7710.79	1.76641E-10
7720.7	1.72432E-10
7730.61	1.6833E-10
7740.52	1.64332E-10
7750.43	1.60436E-10
7760.34	1.56639E-10
7770.25	1.52937E-10
7780.16	1.49329E-10
7790.07	1.45812E-10
7799.98	1.42381E-10
7809.89	1.39032E-10
7819.8	1.35768E-10
7829.71	1.32586E-10
7839.62	1.29484E-10
7849.53	1.26458E-10
7859.44	1.23509E-10
7869.35	1.20633E-10
7879.26	1.17828E-10
7889.17	1.15094E-10
7899.08	1.12427E-10
7908.99	1.09826E-10
7918.9	1.07289E-10
7928.81	1.04811E-10
7938.72	1.02394E-10
7948.63	1.00036E-10
7958.54	9.77355E-11
7968.45	9.54922E-11
7978.36	9.33034E-11
7988.27	9.11687E-11
7998.18	8.90858E-11
8008.09	8.70538E-11
8018	8.50712E-11
8027.91	8.31372E-11
8037.82	8.12496E-11
8047.73	7.94081E-11
