"Photon energy (eV)"    "Reflectivity"
           0.283477  4.070801e-01
           0.284474  4.069348e-01
           0.285471  4.067997e-01
           0.286469  4.066724e-01
           0.287466  4.065506e-01
           0.288463  4.064386e-01
           0.289461  4.063323e-01
           0.290458  4.062304e-01
           0.291455  4.061381e-01
           0.292452  4.060498e-01
           0.293450  4.059649e-01
           0.294447  4.058888e-01
           0.295444  4.058152e-01
           0.296442  4.057442e-01
           0.297439  4.056804e-01
           0.298436  4.056182e-01
           0.299434  4.055577e-01
           0.300431  4.055036e-01
           0.301428  4.054500e-01
           0.302426  4.053970e-01
           0.303423  4.053489e-01
           0.304420  4.053000e-01
           0.305417  4.052504e-01
           0.306415  4.052052e-01
           0.307412  4.051580e-01
           0.308409  4.051085e-01
           0.309407  4.050619e-01
           0.310404  4.050120e-01
           0.311401  4.049582e-01
           0.312399  4.049054e-01
           0.313396  4.048481e-01
           0.314393  4.047853e-01
           0.315390  4.047213e-01
           0.316388  4.046517e-01
           0.317385  4.045743e-01
           0.318382  4.044910e-01
           0.319380  4.043996e-01
           0.320377  4.042979e-01
           0.321374  4.041866e-01
           0.322372  4.040649e-01
           0.323369  4.039281e-01
           0.324366  4.037740e-01
           0.325363  4.036017e-01
           0.326361  4.034081e-01
           0.327358  4.031899e-01
           0.328355  4.029373e-01
           0.329353  4.026677e-01
           0.330350  4.023899e-01
           0.331347  4.020921e-01
           0.332345  4.018067e-01
           0.333342  4.015693e-01
           0.334339  4.013865e-01
           0.335337  4.013405e-01
           0.336334  4.014159e-01
           0.337331  4.015474e-01
           0.338328  4.017203e-01
           0.339326  4.018812e-01
           0.340323  4.020254e-01
           0.341320  4.021643e-01
           0.342318  4.022883e-01
           0.343315  4.023878e-01
           0.344312  4.024624e-01
           0.345310  4.025170e-01
           0.346307  4.025507e-01
           0.347304  4.025656e-01
           0.348301  4.025530e-01
           0.349299  4.025335e-01
           0.350296  4.025255e-01
           0.351293  4.025408e-01
           0.352291  4.025844e-01
           0.353288  4.027151e-01
           0.354285  4.029165e-01
           0.355283  4.031745e-01
           0.356280  4.034515e-01
           0.357277  4.037303e-01
           0.358274  4.040085e-01
           0.359272  4.042961e-01
           0.360269  4.045696e-01
           0.361266  4.048299e-01
           0.362264  4.050891e-01
           0.363261  4.053434e-01
           0.364258  4.055874e-01
           0.365256  4.058217e-01
           0.366253  4.060578e-01
           0.367250  4.062857e-01
           0.368248  4.065056e-01
           0.369245  4.067217e-01
           0.370242  4.069376e-01
           0.371239  4.071468e-01
           0.372237  4.073496e-01
           0.373234  4.075525e-01
           0.374231  4.077529e-01
           0.375229  4.079475e-01
           0.376226  4.081365e-01
           0.377223  4.083278e-01
           0.378221  4.085146e-01
           0.379218  4.086962e-01
           0.380215  4.088742e-01
           0.381212  4.090553e-01
           0.382210  4.092317e-01
           0.383207  4.094035e-01
           0.384204  4.095736e-01
           0.385202  4.097452e-01
           0.386199  4.099124e-01
           0.387196  4.100755e-01
           0.388194  4.102382e-01
           0.389191  4.104011e-01
           0.390188  4.105599e-01
           0.391185  4.107146e-01
           0.392183  4.108708e-01
           0.393180  4.110266e-01
           0.394177  4.111784e-01
           0.395175  4.113262e-01
           0.396172  4.114757e-01
           0.397169  4.116240e-01
           0.398167  4.117684e-01
           0.399164  4.119089e-01
           0.400161  4.120516e-01
           0.401159  4.121928e-01
           0.402156  4.123303e-01
           0.403153  4.124639e-01
