name,fdir,op_Mask_thick
mt1630,/data/experiments/maskEfficiency14/data/1630,1.63E-07
mt1629,/data/experiments/maskEfficiency14/data/1629,1.629E-07
mt1628,/data/experiments/maskEfficiency14/data/1628,1.628E-07
mt1627,/data/experiments/maskEfficiency14/data/1627,1.627E-07
mt1626,/data/experiments/maskEfficiency14/data/1626,1.626E-07
mt1625,/data/experiments/maskEfficiency14/data/1625,1.625E-07
mt1624,/data/experiments/maskEfficiency14/data/1624,1.624E-07
mt1623,/data/experiments/maskEfficiency14/data/1623,1.623E-07
mt1622,/data/experiments/maskEfficiency14/data/1622,1.622E-07
mt1621,/data/experiments/maskEfficiency14/data/1621,1.621E-07
mt1620,/data/experiments/maskEfficiency14/data/1620,1.62E-07
mt1619,/data/experiments/maskEfficiency14/data/1619,1.619E-07
mt1618,/data/experiments/maskEfficiency14/data/1618,1.618E-07
mt1617,/data/experiments/maskEfficiency14/data/1617,1.617E-07
mt1616,/data/experiments/maskEfficiency14/data/1616,1.616E-07
mt1615,/data/experiments/maskEfficiency14/data/1615,1.615E-07
mt1614,/data/experiments/maskEfficiency14/data/1614,1.614E-07
mt1613,/data/experiments/maskEfficiency14/data/1613,1.613E-07
mt1612,/data/experiments/maskEfficiency14/data/1612,1.612E-07
mt1611,/data/experiments/maskEfficiency14/data/1611,1.611E-07
mt1610,/data/experiments/maskEfficiency14/data/1610,1.61E-07
mt1609,/data/experiments/maskEfficiency14/data/1609,1.609E-07
mt1608,/data/experiments/maskEfficiency14/data/1608,1.608E-07
mt1607,/data/experiments/maskEfficiency14/data/1607,1.607E-07
mt1606,/data/experiments/maskEfficiency14/data/1606,1.606E-07
mt1605,/data/experiments/maskEfficiency14/data/1605,1.605E-07
mt1604,/data/experiments/maskEfficiency14/data/1604,1.604E-07
mt1603,/data/experiments/maskEfficiency14/data/1603,1.603E-07
mt1602,/data/experiments/maskEfficiency14/data/1602,1.602E-07
mt1601,/data/experiments/maskEfficiency14/data/1601,1.601E-07
mt1600,/data/experiments/maskEfficiency14/data/1600,1.6E-07
mt1599,/data/experiments/maskEfficiency14/data/1599,1.599E-07
mt1598,/data/experiments/maskEfficiency14/data/1598,1.598E-07
mt1597,/data/experiments/maskEfficiency14/data/1597,1.597E-07
mt1596,/data/experiments/maskEfficiency14/data/1596,1.596E-07
mt1595,/data/experiments/maskEfficiency14/data/1595,1.595E-07
mt1594,/data/experiments/maskEfficiency14/data/1594,1.594E-07
mt1593,/data/experiments/maskEfficiency14/data/1593,1.593E-07
mt1592,/data/experiments/maskEfficiency14/data/1592,1.592E-07
mt1591,/data/experiments/maskEfficiency14/data/1591,1.591E-07
mt1590,/data/experiments/maskEfficiency14/data/1590,1.59E-07
mt1589,/data/experiments/maskEfficiency14/data/1589,1.589E-07
mt1588,/data/experiments/maskEfficiency14/data/1588,1.588E-07
mt1587,/data/experiments/maskEfficiency14/data/1587,1.587E-07
mt1586,/data/experiments/maskEfficiency14/data/1586,1.586E-07
mt1585,/data/experiments/maskEfficiency14/data/1585,1.585E-07
mt1584,/data/experiments/maskEfficiency14/data/1584,1.584E-07
mt1583,/data/experiments/maskEfficiency14/data/1583,1.583E-07
mt1582,/data/experiments/maskEfficiency14/data/1582,1.582E-07
mt1581,/data/experiments/maskEfficiency14/data/1581,1.581E-07
mt1580,/data/experiments/maskEfficiency14/data/1580,1.58E-07
mt1579,/data/experiments/maskEfficiency14/data/1579,1.579E-07
mt1578,/data/experiments/maskEfficiency14/data/1578,1.578E-07
mt1577,/data/experiments/maskEfficiency14/data/1577,1.577E-07
mt1576,/data/experiments/maskEfficiency14/data/1576,1.576E-07
mt1575,/data/experiments/maskEfficiency14/data/1575,1.575E-07
mt1574,/data/experiments/maskEfficiency14/data/1574,1.574E-07
mt1573,/data/experiments/maskEfficiency14/data/1573,1.573E-07
mt1572,/data/experiments/maskEfficiency14/data/1572,1.572E-07
mt1571,/data/experiments/maskEfficiency14/data/1571,1.571E-07
mt1570,/data/experiments/maskEfficiency14/data/1570,1.57E-07
mt1569,/data/experiments/maskEfficiency14/data/1569,1.569E-07
mt1568,/data/experiments/maskEfficiency14/data/1568,1.568E-07
mt1567,/data/experiments/maskEfficiency14/data/1567,1.567E-07
mt1566,/data/experiments/maskEfficiency14/data/1566,1.566E-07
mt1565,/data/experiments/maskEfficiency14/data/1565,1.565E-07
mt1564,/data/experiments/maskEfficiency14/data/1564,1.564E-07
mt1563,/data/experiments/maskEfficiency14/data/1563,1.563E-07
mt1562,/data/experiments/maskEfficiency14/data/1562,1.562E-07
mt1561,/data/experiments/maskEfficiency14/data/1561,1.561E-07
mt1560,/data/experiments/maskEfficiency14/data/1560,1.56E-07
mt1559,/data/experiments/maskEfficiency14/data/1559,1.55899999999999E-07
mt1558,/data/experiments/maskEfficiency14/data/1558,1.55799999999999E-07
mt1557,/data/experiments/maskEfficiency14/data/1557,1.55699999999999E-07
mt1556,/data/experiments/maskEfficiency14/data/1556,1.55599999999999E-07
mt1555,/data/experiments/maskEfficiency14/data/1555,1.55499999999999E-07
mt1554,/data/experiments/maskEfficiency14/data/1554,1.55399999999999E-07
mt1553,/data/experiments/maskEfficiency14/data/1553,1.55299999999999E-07
mt1552,/data/experiments/maskEfficiency14/data/1552,1.55199999999999E-07
mt1551,/data/experiments/maskEfficiency14/data/1551,1.55099999999999E-07
mt1550,/data/experiments/maskEfficiency14/data/1550,1.54999999999999E-07
mt1549,/data/experiments/maskEfficiency14/data/1549,1.54899999999999E-07
mt1548,/data/experiments/maskEfficiency14/data/1548,1.54799999999999E-07
mt1547,/data/experiments/maskEfficiency14/data/1547,1.54699999999999E-07
mt1546,/data/experiments/maskEfficiency14/data/1546,1.54599999999999E-07
mt1545,/data/experiments/maskEfficiency14/data/1545,1.54499999999999E-07
mt1544,/data/experiments/maskEfficiency14/data/1544,1.54399999999999E-07
mt1543,/data/experiments/maskEfficiency14/data/1543,1.54299999999999E-07
mt1542,/data/experiments/maskEfficiency14/data/1542,1.54199999999999E-07
mt1541,/data/experiments/maskEfficiency14/data/1541,1.54099999999999E-07
mt1540,/data/experiments/maskEfficiency14/data/1540,1.53999999999999E-07
mt1539,/data/experiments/maskEfficiency14/data/1539,1.53899999999999E-07
mt1538,/data/experiments/maskEfficiency14/data/1538,1.53799999999999E-07
mt1537,/data/experiments/maskEfficiency14/data/1537,1.53699999999999E-07
mt1536,/data/experiments/maskEfficiency14/data/1536,1.53599999999999E-07
mt1535,/data/experiments/maskEfficiency14/data/1535,1.53499999999999E-07
mt1534,/data/experiments/maskEfficiency14/data/1534,1.53399999999999E-07
mt1533,/data/experiments/maskEfficiency14/data/1533,1.53299999999999E-07
mt1532,/data/experiments/maskEfficiency14/data/1532,1.53199999999999E-07
mt1531,/data/experiments/maskEfficiency14/data/1531,1.53099999999999E-07
mt1530,/data/experiments/maskEfficiency14/data/1530,1.52999999999999E-07
mt1529,/data/experiments/maskEfficiency14/data/1529,1.52899999999999E-07
mt1528,/data/experiments/maskEfficiency14/data/1528,1.52799999999999E-07
mt1527,/data/experiments/maskEfficiency14/data/1527,1.52699999999999E-07
mt1526,/data/experiments/maskEfficiency14/data/1526,1.52599999999999E-07
mt1525,/data/experiments/maskEfficiency14/data/1525,1.52499999999999E-07
mt1524,/data/experiments/maskEfficiency14/data/1524,1.52399999999999E-07
mt1523,/data/experiments/maskEfficiency14/data/1523,1.52299999999999E-07
mt1522,/data/experiments/maskEfficiency14/data/1522,1.52199999999999E-07
mt1521,/data/experiments/maskEfficiency14/data/1521,1.52099999999999E-07
mt1520,/data/experiments/maskEfficiency14/data/1520,1.51999999999999E-07
mt1519,/data/experiments/maskEfficiency14/data/1519,1.51899999999999E-07
mt1518,/data/experiments/maskEfficiency14/data/1518,1.51799999999999E-07
mt1517,/data/experiments/maskEfficiency14/data/1517,1.51699999999999E-07
mt1516,/data/experiments/maskEfficiency14/data/1516,1.51599999999999E-07
mt1515,/data/experiments/maskEfficiency14/data/1515,1.51499999999999E-07
mt1514,/data/experiments/maskEfficiency14/data/1514,1.51399999999999E-07
mt1513,/data/experiments/maskEfficiency14/data/1513,1.51299999999999E-07
mt1512,/data/experiments/maskEfficiency14/data/1512,1.51199999999999E-07
mt1511,/data/experiments/maskEfficiency14/data/1511,1.51099999999999E-07
mt1510,/data/experiments/maskEfficiency14/data/1510,1.50999999999999E-07
mt1509,/data/experiments/maskEfficiency14/data/1509,1.50899999999999E-07
mt1508,/data/experiments/maskEfficiency14/data/1508,1.50799999999999E-07
mt1507,/data/experiments/maskEfficiency14/data/1507,1.50699999999999E-07
mt1506,/data/experiments/maskEfficiency14/data/1506,1.50599999999999E-07
mt1505,/data/experiments/maskEfficiency14/data/1505,1.50499999999999E-07
mt1504,/data/experiments/maskEfficiency14/data/1504,1.50399999999999E-07
mt1503,/data/experiments/maskEfficiency14/data/1503,1.50299999999999E-07
mt1502,/data/experiments/maskEfficiency14/data/1502,1.50199999999999E-07
mt1501,/data/experiments/maskEfficiency14/data/1501,1.50099999999999E-07
mt1500,/data/experiments/maskEfficiency14/data/1500,1.49999999999999E-07
