name,fdir,op_Mask_thick
mt16100,/data/experiments/maskEfficiency9/data/16100,1.61E-07
mt16101,/data/experiments/maskEfficiency9/data/16101,1.6101E-07
mt16102,/data/experiments/maskEfficiency9/data/16102,1.6102E-07
mt16103,/data/experiments/maskEfficiency9/data/16103,1.6103E-07
mt16104,/data/experiments/maskEfficiency9/data/16104,1.6104E-07
mt16105,/data/experiments/maskEfficiency9/data/16105,1.6105E-07
mt16106,/data/experiments/maskEfficiency9/data/16106,1.6106E-07
mt16107,/data/experiments/maskEfficiency9/data/16107,1.6107E-07
mt16108,/data/experiments/maskEfficiency9/data/16108,1.6108E-07
mt16109,/data/experiments/maskEfficiency9/data/16109,1.6109E-07
mt16110,/data/experiments/maskEfficiency9/data/16110,1.611E-07
mt16111,/data/experiments/maskEfficiency9/data/16111,1.6111E-07
mt16112,/data/experiments/maskEfficiency9/data/16112,1.6112E-07
mt16113,/data/experiments/maskEfficiency9/data/16113,1.6113E-07
mt16114,/data/experiments/maskEfficiency9/data/16114,1.6114E-07
mt16115,/data/experiments/maskEfficiency9/data/16115,1.6115E-07
mt16116,/data/experiments/maskEfficiency9/data/16116,1.6116E-07
mt16117,/data/experiments/maskEfficiency9/data/16117,1.6117E-07
mt16118,/data/experiments/maskEfficiency9/data/16118,1.6118E-07
mt16119,/data/experiments/maskEfficiency9/data/16119,1.6119E-07
mt16120,/data/experiments/maskEfficiency9/data/16120,1.612E-07
mt16121,/data/experiments/maskEfficiency9/data/16121,1.6121E-07
mt16122,/data/experiments/maskEfficiency9/data/16122,1.6122E-07
mt16123,/data/experiments/maskEfficiency9/data/16123,1.6123E-07
mt16124,/data/experiments/maskEfficiency9/data/16124,1.6124E-07
mt16125,/data/experiments/maskEfficiency9/data/16125,1.6125E-07
mt16126,/data/experiments/maskEfficiency9/data/16126,1.6126E-07
mt16127,/data/experiments/maskEfficiency9/data/16127,1.6127E-07
mt16128,/data/experiments/maskEfficiency9/data/16128,1.6128E-07
mt16129,/data/experiments/maskEfficiency9/data/16129,1.6129E-07
mt16130,/data/experiments/maskEfficiency9/data/16130,1.613E-07
mt16131,/data/experiments/maskEfficiency9/data/16131,1.6131E-07
mt16132,/data/experiments/maskEfficiency9/data/16132,1.6132E-07
mt16133,/data/experiments/maskEfficiency9/data/16133,1.6133E-07
mt16134,/data/experiments/maskEfficiency9/data/16134,1.6134E-07
mt16135,/data/experiments/maskEfficiency9/data/16135,1.6135E-07
mt16136,/data/experiments/maskEfficiency9/data/16136,1.6136E-07
mt16137,/data/experiments/maskEfficiency9/data/16137,1.6137E-07
mt16138,/data/experiments/maskEfficiency9/data/16138,1.6138E-07
mt16139,/data/experiments/maskEfficiency9/data/16139,1.6139E-07
mt16140,/data/experiments/maskEfficiency9/data/16140,1.614E-07
mt16141,/data/experiments/maskEfficiency9/data/16141,1.6141E-07
mt16142,/data/experiments/maskEfficiency9/data/16142,1.6142E-07
mt16143,/data/experiments/maskEfficiency9/data/16143,1.6143E-07
mt16144,/data/experiments/maskEfficiency9/data/16144,1.6144E-07
mt16145,/data/experiments/maskEfficiency9/data/16145,1.6145E-07
mt16146,/data/experiments/maskEfficiency9/data/16146,1.6146E-07
mt16147,/data/experiments/maskEfficiency9/data/16147,1.6147E-07
mt16148,/data/experiments/maskEfficiency9/data/16148,1.6148E-07
mt16149,/data/experiments/maskEfficiency9/data/16149,1.6149E-07
mt16150,/data/experiments/maskEfficiency9/data/16150,1.615E-07
mt16151,/data/experiments/maskEfficiency9/data/16151,1.6151E-07
mt16152,/data/experiments/maskEfficiency9/data/16152,1.6152E-07
mt16153,/data/experiments/maskEfficiency9/data/16153,1.6153E-07
mt16154,/data/experiments/maskEfficiency9/data/16154,1.6154E-07
mt16155,/data/experiments/maskEfficiency9/data/16155,1.6155E-07
mt16156,/data/experiments/maskEfficiency9/data/16156,1.6156E-07
mt16157,/data/experiments/maskEfficiency9/data/16157,1.6157E-07
mt16158,/data/experiments/maskEfficiency9/data/16158,1.6158E-07
mt16159,/data/experiments/maskEfficiency9/data/16159,1.6159E-07
mt16160,/data/experiments/maskEfficiency9/data/16160,1.616E-07
mt16161,/data/experiments/maskEfficiency9/data/16161,1.6161E-07
mt16162,/data/experiments/maskEfficiency9/data/16162,1.6162E-07
mt16163,/data/experiments/maskEfficiency9/data/16163,1.6163E-07
mt16164,/data/experiments/maskEfficiency9/data/16164,1.6164E-07
mt16165,/data/experiments/maskEfficiency9/data/16165,1.6165E-07
mt16166,/data/experiments/maskEfficiency9/data/16166,1.6166E-07
mt16167,/data/experiments/maskEfficiency9/data/16167,1.6167E-07
mt16168,/data/experiments/maskEfficiency9/data/16168,1.6168E-07
mt16169,/data/experiments/maskEfficiency9/data/16169,1.6169E-07
mt16170,/data/experiments/maskEfficiency9/data/16170,1.617E-07
mt16171,/data/experiments/maskEfficiency9/data/16171,1.6171E-07
mt16172,/data/experiments/maskEfficiency9/data/16172,1.6172E-07
mt16173,/data/experiments/maskEfficiency9/data/16173,1.6173E-07
mt16174,/data/experiments/maskEfficiency9/data/16174,1.6174E-07
mt16175,/data/experiments/maskEfficiency9/data/16175,1.6175E-07
mt16176,/data/experiments/maskEfficiency9/data/16176,1.6176E-07
mt16177,/data/experiments/maskEfficiency9/data/16177,1.6177E-07
mt16178,/data/experiments/maskEfficiency9/data/16178,1.6178E-07
mt16179,/data/experiments/maskEfficiency9/data/16179,1.6179E-07
mt16180,/data/experiments/maskEfficiency9/data/16180,1.618E-07
mt16181,/data/experiments/maskEfficiency9/data/16181,1.6181E-07
mt16182,/data/experiments/maskEfficiency9/data/16182,1.6182E-07
mt16183,/data/experiments/maskEfficiency9/data/16183,1.6183E-07
mt16184,/data/experiments/maskEfficiency9/data/16184,1.6184E-07
mt16185,/data/experiments/maskEfficiency9/data/16185,1.6185E-07
mt16186,/data/experiments/maskEfficiency9/data/16186,1.6186E-07
mt16187,/data/experiments/maskEfficiency9/data/16187,1.6187E-07
mt16188,/data/experiments/maskEfficiency9/data/16188,1.6188E-07
mt16189,/data/experiments/maskEfficiency9/data/16189,1.6189E-07
mt16190,/data/experiments/maskEfficiency9/data/16190,1.619E-07
mt16191,/data/experiments/maskEfficiency9/data/16191,1.6191E-07
mt16192,/data/experiments/maskEfficiency9/data/16192,1.6192E-07
mt16193,/data/experiments/maskEfficiency9/data/16193,1.6193E-07
mt16194,/data/experiments/maskEfficiency9/data/16194,1.6194E-07
mt16195,/data/experiments/maskEfficiency9/data/16195,1.6195E-07
mt16196,/data/experiments/maskEfficiency9/data/16196,1.6196E-07
mt16197,/data/experiments/maskEfficiency9/data/16197,1.6197E-07
mt16198,/data/experiments/maskEfficiency9/data/16198,1.6198E-07
mt16199,/data/experiments/maskEfficiency9/data/16199,1.6199E-07
mt16200,/data/experiments/maskEfficiency9/data/16200,1.62E-07
mt16201,/data/experiments/maskEfficiency9/data/16201,1.6201E-07
mt16202,/data/experiments/maskEfficiency9/data/16202,1.6202E-07
mt16203,/data/experiments/maskEfficiency9/data/16203,1.6203E-07
mt16204,/data/experiments/maskEfficiency9/data/16204,1.6204E-07
mt16205,/data/experiments/maskEfficiency9/data/16205,1.6205E-07
mt16206,/data/experiments/maskEfficiency9/data/16206,1.6206E-07
mt16207,/data/experiments/maskEfficiency9/data/16207,1.6207E-07
mt16208,/data/experiments/maskEfficiency9/data/16208,1.6208E-07
mt16209,/data/experiments/maskEfficiency9/data/16209,1.6209E-07
